Warning: 100 points required, but 125 points sampled.
Warning: 10000 points required, but 12500 points sampled.
Compiling model...
'compile' took 3.656231 s

Training model...

Step      Train loss                        Test loss                         Test metric
0         [3.99e-01, 1.76e+02, 5.96e-02]    [2.77e-01, 1.76e+02, 5.96e-02]    []

Best model at step 0:
  train loss: 1.77e+02
  test loss: 1.77e+02
  test metric: []

'train' took 2.574109 s

Compiling model...
'compile' took 0.001464 s

Training model...

Step      Train loss                        Test loss                         Test metric
16200     [1.27e-02, 2.27e-02, 3.50e-02]    [4.94e-03, 2.27e-02, 3.50e-02]    []
16300     [1.23e-02, 2.25e-02, 3.50e-02]    [4.84e-03, 2.25e-02, 3.50e-02]    []
16400     [1.23e-02, 2.24e-02, 3.51e-02]    [4.79e-03, 2.24e-02, 3.51e-02]    []
16500     [2.13e-02, 2.63e-02, 3.54e-02]    [1.31e-02, 2.63e-02, 3.54e-02]    []
16600     [1.21e-02, 2.21e-02, 3.48e-02]    [4.87e-03, 2.21e-02, 3.48e-02]    []
16700     [1.31e-02, 2.30e-02, 3.45e-02]    [5.75e-03, 2.30e-02, 3.45e-02]    []
16800     [1.22e-02, 2.20e-02, 3.45e-02]    [4.86e-03, 2.20e-02, 3.45e-02]    []
16900     [1.47e-02, 2.31e-02, 3.46e-02]    [7.35e-03, 2.31e-02, 3.46e-02]    []
17000     [1.23e-02, 2.18e-02, 3.44e-02]    [4.78e-03, 2.18e-02, 3.44e-02]    []
17100     [1.33e-02, 2.23e-02, 3.46e-02]    [5.94e-03, 2.23e-02, 3.46e-02]    []
17200     [1.24e-02, 2.17e-02, 3.42e-02]    [4.85e-03, 2.17e-02, 3.42e-02]    []
17300     [1.22e-02, 2.15e-02, 3.41e-02]    [4.86e-03, 2.15e-02, 3.41e-02]    []
17400     [1.25e-02, 2.17e-02, 3.43e-02]    [5.14e-03, 2.17e-02, 3.43e-02]    []
17500     [1.16e-02, 2.13e-02, 3.42e-02]    [4.68e-03, 2.13e-02, 3.42e-02]    []
17600     [1.18e-02, 2.13e-02, 3.38e-02]    [4.82e-03, 2.13e-02, 3.38e-02]    []
17700     [1.21e-02, 2.11e-02, 3.39e-02]    [4.74e-03, 2.11e-02, 3.39e-02]    []
17800     [1.13e-02, 2.10e-02, 3.37e-02]    [4.67e-03, 2.10e-02, 3.37e-02]    []
17900     [1.18e-02, 2.10e-02, 3.35e-02]    [4.71e-03, 2.10e-02, 3.35e-02]    []
18000     [1.17e-02, 2.09e-02, 3.34e-02]    [4.67e-03, 2.09e-02, 3.34e-02]    []
18100     [1.17e-02, 2.07e-02, 3.35e-02]    [4.69e-03, 2.07e-02, 3.35e-02]    []
18200     [1.21e-02, 2.11e-02, 3.31e-02]    [5.39e-03, 2.11e-02, 3.31e-02]    []
18300     [1.15e-02, 2.05e-02, 3.31e-02]    [4.72e-03, 2.05e-02, 3.31e-02]    []
18400     [1.13e-02, 2.04e-02, 3.29e-02]    [4.73e-03, 2.04e-02, 3.29e-02]    []
18500     [1.14e-02, 2.03e-02, 3.28e-02]    [4.68e-03, 2.03e-02, 3.28e-02]    []
18600     [1.18e-02, 2.02e-02, 3.27e-02]    [4.85e-03, 2.02e-02, 3.27e-02]    []
18700     [1.11e-02, 2.01e-02, 3.27e-02]    [4.57e-03, 2.01e-02, 3.27e-02]    []
18800     [1.16e-02, 2.01e-02, 3.25e-02]    [4.63e-03, 2.01e-02, 3.25e-02]    []
18900     [1.73e-02, 2.21e-02, 3.27e-02]    [1.08e-02, 2.21e-02, 3.27e-02]    []
19000     [1.10e-02, 1.98e-02, 3.24e-02]    [4.60e-03, 1.98e-02, 3.24e-02]    []
19100     [1.17e-02, 1.98e-02, 3.22e-02]    [5.04e-03, 1.98e-02, 3.22e-02]    []
19200     [1.11e-02, 1.96e-02, 3.23e-02]    [4.49e-03, 1.96e-02, 3.23e-02]    []
19300     [1.10e-02, 1.95e-02, 3.20e-02]    [4.52e-03, 1.95e-02, 3.20e-02]    []
19400     [1.07e-02, 1.94e-02, 3.18e-02]    [4.54e-03, 1.94e-02, 3.18e-02]    []
19500     [1.65e-02, 2.21e-02, 3.22e-02]    [1.00e-02, 2.21e-02, 3.22e-02]    []
19600     [1.13e-02, 1.93e-02, 3.15e-02]    [4.58e-03, 1.93e-02, 3.15e-02]    []
19700     [3.14e-02, 2.83e-02, 3.26e-02]    [2.45e-02, 2.83e-02, 3.26e-02]    []
19800     [1.06e-02, 1.90e-02, 3.13e-02]    [4.52e-03, 1.90e-02, 3.13e-02]    []
19900     [2.40e-02, 2.67e-02, 3.09e-02]    [1.60e-02, 2.67e-02, 3.09e-02]    []
20000     [1.05e-02, 1.89e-02, 3.12e-02]    [4.42e-03, 1.89e-02, 3.12e-02]    []
20100     [1.06e-02, 1.88e-02, 3.09e-02]    [4.49e-03, 1.88e-02, 3.09e-02]    []
20200     [1.02e-02, 1.86e-02, 3.09e-02]    [4.34e-03, 1.86e-02, 3.09e-02]    []
20300     [1.02e-02, 1.86e-02, 3.07e-02]    [4.41e-03, 1.86e-02, 3.07e-02]    []
20400     [1.02e-02, 1.85e-02, 3.05e-02]    [4.39e-03, 1.85e-02, 3.05e-02]    []
