Warning: 100 points required, but 125 points sampled.
Warning: 10000 points required, but 12500 points sampled.
Compiling model...
'compile' took 3.059942 s

Training model...

Step      Train loss                        Test loss                         Test metric
0         [4.92e+00, 4.80e+02, 1.81e-01]    [3.95e+00, 4.80e+02, 1.81e-01]    []

Best model at step 0:
  train loss: 4.85e+02
  test loss: 4.84e+02
  test metric: []

'train' took 3.037069 s

Compiling model...
'compile' took 0.001218 s

Training model...

Step      Train loss                        Test loss                         Test metric
11000     [3.85e-03, 1.89e-03, 3.82e-03]    [2.32e-03, 1.89e-03, 3.82e-03]    []
11100     [3.46e-03, 1.11e-03, 3.75e-03]    [2.17e-03, 1.11e-03, 3.75e-03]    []
11200     [4.01e-03, 1.09e-03, 3.71e-03]    [2.17e-03, 1.09e-03, 3.71e-03]    []
11300     [4.20e-03, 1.97e-03, 3.80e-03]    [2.23e-03, 1.97e-03, 3.80e-03]    []
11400     [3.61e-03, 1.50e-03, 3.71e-03]    [2.20e-03, 1.50e-03, 3.71e-03]    []
11500     [3.54e-03, 1.03e-03, 3.62e-03]    [2.10e-03, 1.03e-03, 3.62e-03]    []
11600     [3.62e-03, 1.08e-03, 3.61e-03]    [2.05e-03, 1.08e-03, 3.61e-03]    []
11700     [3.60e-03, 2.17e-03, 3.74e-03]    [2.27e-03, 2.17e-03, 3.74e-03]    []
11800     [3.45e-03, 1.64e-03, 3.63e-03]    [2.12e-03, 1.64e-03, 3.63e-03]    []
11900     [3.49e-03, 1.11e-03, 3.52e-03]    [1.98e-03, 1.11e-03, 3.52e-03]    []
12000     [3.56e-03, 1.83e-03, 3.61e-03]    [2.05e-03, 1.83e-03, 3.61e-03]    []
12100     [4.72e-03, 5.65e-03, 4.26e-03]    [3.05e-03, 5.65e-03, 4.26e-03]    []
12200     [3.14e-03, 9.06e-04, 3.45e-03]    [1.91e-03, 9.06e-04, 3.45e-03]    []
12300     [3.15e-03, 9.68e-04, 3.42e-03]    [1.91e-03, 9.68e-04, 3.42e-03]    []
12400     [3.10e-03, 9.64e-04, 3.41e-03]    [1.90e-03, 9.64e-04, 3.41e-03]    []
12500     [3.18e-03, 8.41e-04, 3.38e-03]    [1.86e-03, 8.41e-04, 3.38e-03]    []
12600     [3.05e-03, 9.88e-04, 3.34e-03]    [1.91e-03, 9.88e-04, 3.34e-03]    []
12700     [3.02e-03, 8.24e-04, 3.33e-03]    [1.83e-03, 8.24e-04, 3.33e-03]    []
12800     [3.34e-03, 2.21e-03, 3.47e-03]    [2.15e-03, 2.21e-03, 3.47e-03]    []
12900     [3.12e-03, 7.78e-04, 3.29e-03]    [1.81e-03, 7.78e-04, 3.29e-03]    []
13000     [3.08e-03, 8.07e-04, 3.27e-03]    [1.82e-03, 8.07e-04, 3.27e-03]    []
13100     [3.06e-03, 8.18e-04, 3.26e-03]    [1.87e-03, 8.18e-04, 3.26e-03]    []
13200     [3.08e-03, 7.91e-04, 3.24e-03]    [1.86e-03, 7.91e-04, 3.24e-03]    []
13300     [4.12e-03, 5.24e-03, 3.74e-03]    [2.98e-03, 5.24e-03, 3.74e-03]    []
13400     [3.42e-03, 1.80e-03, 3.37e-03]    [2.07e-03, 1.80e-03, 3.37e-03]    []
13500     [3.36e-03, 1.28e-03, 3.26e-03]    [2.01e-03, 1.28e-03, 3.26e-03]    []
13600     [3.03e-03, 1.01e-03, 3.14e-03]    [1.92e-03, 1.01e-03, 3.14e-03]    []
13700     [3.11e-03, 7.01e-04, 3.11e-03]    [1.79e-03, 7.01e-04, 3.11e-03]    []
13800     [3.15e-03, 6.71e-04, 3.12e-03]    [1.84e-03, 6.71e-04, 3.12e-03]    []
13900     [3.24e-03, 6.78e-04, 3.12e-03]    [1.84e-03, 6.78e-04, 3.12e-03]    []
14000     [2.95e-03, 6.84e-04, 3.09e-03]    [1.84e-03, 6.84e-04, 3.09e-03]    []
14100     [3.11e-03, 6.48e-04, 3.12e-03]    [1.88e-03, 6.48e-04, 3.12e-03]    []
